Name,Address,Active,Registration_weight,Primary (%),Secondary (%),Availability (%),Total reward,Current earnings,Reward rate
,0x121c651710217239592A169b9f7D1038Ad53446d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xa9d0D7D854538C6902c004e5096d8bccB12FF3ec,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xacdc39eCcCBA58f309E651B8b9A27C4624307AFc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTSOExpress,0xb54547B790d0c05Be00fbd3d3436D3172854e3dC,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x74d9E42D010858A4b46418d9EfD7B494F08a876F,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xdd7B2Bac728f027f23aDD7128711ecB60f761aD5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x35D73107A089Ac2b3b14a6681D8c408Aab9568D3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xD296098327d541E6057Cb2fFA309e19e9c7207eE,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xfB9197720329a80191BA140844E96DCcAD149014,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xCDEAE85d8cEF99a6433F341c3DcE6096C3c5598c,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flare Network Test 1,0x526e10F59B79D4e434D367F30A5CF6aA49641642,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifrost Wallet,0x7429E0C70306834E2B210cf3FEB306342f456ce7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xC280759EEFc65BF0AC29cCdAC2d8eCe0B2519F8B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x5B28A13aB8f85Bf5C17254e6e72E2E1E7a5275aC,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
