Name,Address,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
uGaenn,0xD249c7e0BDb6F407604260350eD56e7Dd5254e51,392,1.0251114596151966e+19,66408032,2.2268705687108834e+25,2.2268705687108834e+25
FTSO London,0xD288C3EF25eBf79e7C53EA37DcDfB0710f3Ed173,1210,3.16003301872145e+19,66408033,9.990538582173639e+25,9.990538582173639e+25
WitterFTSO,0xd6122bb3d05454b4E4CC9883064A96607eB835BF,529,1.3827408106609435e+19,66408033,3.3188512257209245e+25,3.3188512257209245e+25
,0xd6C5f3e3a8A76EC73F2fAFaf06ef9dA57796DdF0,374,9.792371069668035e+18,66408033,2.0950000008782694e+25,2.0950000008782694e+25
TempestFTSO,0xD9DdD06B3E603F451DD8A16574CA9D3dF564742b,370,9.66633601772617e+18,66408033,2.059124506077275e+25,2.059124506077275e+25
FTSO Plus,0xDbB159Ee372D58d2653023bF1c5ab5678b842870,1531,3.999348526056795e+19,66408034,1.3676838700865919e+26,1.3676838700865919e+26
,0xE6B81dB3e09ee36611555D053A1bF8cb99fC2f1B,1291,3.3739701847328915e+19,66408032,1.0902390594992953e+26,1.0902390594992953e+26
FTSOCAN,0xEc056b0EF36de1D63031fdBb9bceF5FEB36FB27f,412,1.078526766580745e+19,66408033,2.382912225859683e+25,2.382912225859683e+25
LightFTSO,0xEE6f6572cfeB3467CE5F3572Bea7c5FD6d2b1725,2133,5.571208515875312e+19,66408032,2.1278090189539795e+26,2.1278090189539795e+26
,0xeEddF5817a03a3a0e27e33672c4788A9e43fA438,28,7.559271021780545e+17,66408034,6.8861045597242e+23,6.8861045597242e+23
Wonderftso,0xfe193A0f95bBeeE5a5c8306bca5ceDfA65114460,365,9.55053473746264e+18,66408035,2.026300258485596e+25,2.026300258485596e+25
